#domain,ioc,IPs,C2Domains
"007work.icu","Possible Cobaltstrike DNS C2 Domain","104.238.151.17","ns1.007work.icu ns2.007work.icu ns3.007work.icu"
"a1batr0ss.xyz","Possible Cobaltstrike DNS C2 Domain","124.223.83.171","ns1.a1batr0ss.xyz ns2.a1batr0ss.xyz"
"ace3.ru","Possible Cobaltstrike DNS C2 Domain","195.133.53.144","ns1.ace3.ru ns2.ace3.ru ns3.ace3.ru"
"acemindtechnology.com","Possible Cobaltstrike DNS C2 Domain","44.211.200.71","dirt.acemindtechnology.com"
"ad4min.com","Possible Cobaltstrike DNS C2 Domain","198.13.42.85","aaa.ad4min.com"
"akingump.cloud","Possible Cobaltstrike DNS C2 Domain","100.26.145.203","dns.ns1.akingump.cloud ns1.akingump.cloud"
"anaitea.com","Possible Cobaltstrike DNS C2 Domain","154.211.18.108","ns1.anaitea.com ns2.anaitea.com"
"asuscomm.com","Possible Cobaltstrike DNS C2 Domain","85.175.101.203","skynet-i.asuscomm.com"
"azureeservices.co.uk","Possible Cobaltstrike DNS C2 Domain","98.71.232.223","cdn.azureeservices.co.uk"
"bilibili360.xyz","Possible Cobaltstrike DNS C2 Domain","121.5.128.191","dropper.bilibili360.xyz"
"binsmob.com","Possible Cobaltstrike DNS C2 Domain","31.44.184.74","binsmob.com dns.binsmob.com"
"blueseaedu.com","Possible Cobaltstrike DNS C2 Domain","185.74.222.16","dnsproxy.blueseaedu.com"
"bogotatrade.co","Possible Cobaltstrike DNS C2 Domain","23.105.210.39","ns1.bogotatrade.co"
"bonplan.lu","Possible Cobaltstrike DNS C2 Domain","34.251.142.170","pics.bonplan.lu"
"bre1ce.top","Possible Cobaltstrike DNS C2 Domain","155.94.170.73","ns1.bre1ce.top server1.bre1ce.top"
"caigoupangza.top","Possible Cobaltstrike DNS C2 Domain","120.46.211.40","ns1.caigoupangza.top ns2.caigoupangza.top"
"cdnmax.info","Possible Cobaltstrike DNS C2 Domain","64.176.35.130","ns1.cdnmax.info ns2.cdnmax.info"
"centos-yum.xyz","Possible Cobaltstrike DNS C2 Domain","167.179.84.218","ns1.centos-yum.xyz ns2.centos-yum.xyz"
"ceshi897.cn","Possible Cobaltstrike DNS C2 Domain","45.152.67.162","www1.ceshi897.cn www2.ceshi897.cn www3.ceshi897.cn"
"chat666.live","Possible Cobaltstrike DNS C2 Domain","175.27.224.35","ns1.chat666.live ns2.chat666.live"
"checkavail.space","Possible Cobaltstrike DNS C2 Domain","191.101.44.35","dns.checkavail.space ns.checkavail.space"
"chenda.xyz","Possible Cobaltstrike DNS C2 Domain","106.55.180.110 111.230.194.172","qq.chenda.xyz"
"chongfan1990.xyz","Possible Cobaltstrike DNS C2 Domain","35.78.175.21","ns1.chongfan1990.xyz ns2.chongfan1990.xyz ns3.chongfan1990.xyz"
"cityoall.com","Possible Cobaltstrike DNS C2 Domain","104.223.121.37","cityoall.com dns.cityoall.com"
"cloudfleras.com","Possible Cobaltstrike DNS C2 Domain","104.200.67.121 195.133.23.90","one.cloudfleras.com"
"cloudns.nz","Possible Cobaltstrike DNS C2 Domain","94.131.113.34","ns1.tosohindia.cloudns.nz"
"cncb.info","Possible Cobaltstrike DNS C2 Domain","35.78.175.21","mail.cncb.info oa.cncb.info software.cncb.info wps.cncb.info"
"comecode.name","Possible Cobaltstrike DNS C2 Domain","104.243.19.101","comecode.name"
"corpais900.co","Possible Cobaltstrike DNS C2 Domain","45.136.255.189","ns1.corpais900.co ns2.corpais900.co"
"ctfer.club","Possible Cobaltstrike DNS C2 Domain","101.34.23.227","ns1.ctfer.club ns2.ctfer.club"
"d1am0nd.ddns.net","Possible Cobaltstrike DNS C2 Domain","194.135.17.31","d1am0nd.ddns.net"
"digihealthlocker.com","Possible Cobaltstrike DNS C2 Domain","54.226.3.99","recommendation.digihealthlocker.com"
"digitelela.com","Possible Cobaltstrike DNS C2 Domain","104.238.153.140 64.176.7.118","ns1.digitelela.com ns4.digitelela.com"
"dingtaIk.tk","Possible Cobaltstrike DNS C2 Domain","47.94.43.210","ns1.dingtaIk.tk ns2.dingtaIk.tk"
"djn.blue","Possible Cobaltstrike DNS C2 Domain","159.203.60.8","dnsswag.djn.blue"
"dnsonlin.co","Possible Cobaltstrike DNS C2 Domain","43.136.40.179","cs1.dnsonlin.co"
"dnsrd.com","Possible Cobaltstrike DNS C2 Domain","193.178.210.203","ns.msazure.dnsrd.com"
"doctordanm.com","Possible Cobaltstrike DNS C2 Domain","54.196.194.166","salt.doctordanm.com"
"easthudsoninvestments.com","Possible Cobaltstrike DNS C2 Domain","44.206.245.176","version.easthudsoninvestments.com"
"efstech.de","Possible Cobaltstrike DNS C2 Domain","213.61.251.56","cdn.efstech.de"
"ergonomic-survey.com","Possible Cobaltstrike DNS C2 Domain","3.237.41.66","prod.ergonomic-survey.com"
"exploitresearch.art","Possible Cobaltstrike DNS C2 Domain","45.79.125.241","dns.exploitresearch.art"
"fcdncloud.link","Possible Cobaltstrike DNS C2 Domain","185.239.84.203","ns1.fcdncloud.link ns2.fcdncloud.link"
"flysmart-piac-aero.site","Possible Cobaltstrike DNS C2 Domain","47.251.36.32","cabin.up.flysmart-piac-aero.site check.up.flysmart-piac-aero.site crew.up.flysmart-piac-aero.site crew1.up.flysmart-piac-aero.site"
"forcorpor.com","Possible Cobaltstrike DNS C2 Domain","31.44.184.73","dns.forcorpor.com forcorpor.com"
"fuckworldxxx.shop","Possible Cobaltstrike DNS C2 Domain","123.207.51.53","ns1.fuckworldxxx.shop ns2.fuckworldxxx.shop ns3.fuckworldxxx.shop"
"g-security.cn","Possible Cobaltstrike DNS C2 Domain","43.138.226.44","test.g-security.cn"
"googlearth.top","Possible Cobaltstrike DNS C2 Domain","43.154.27.211","ns.googlearth.top"
"goporsche.de","Possible Cobaltstrike DNS C2 Domain","185.155.96.178","ns1.goporsche.de"
"greypsecurity.training","Possible Cobaltstrike DNS C2 Domain","54.149.61.80","dns.greypsecurity.training"
"gxyy77.xyz","Possible Cobaltstrike DNS C2 Domain","23.224.90.150","nn.gxyy77.xyz ns1.gxyy77.xyz ns2.gxyy77.xyz"
"hanqianye.com","Possible Cobaltstrike DNS C2 Domain","192.144.198.126","ns1.hanqianye.com"
"health-degree.com","Possible Cobaltstrike DNS C2 Domain","54.145.9.123","block.health-degree.com"
"icbcbc.com.cn","Possible Cobaltstrike DNS C2 Domain","118.25.137.239","ns3.icbcbc.com.cn ns4.icbcbc.com.cn"
"incididunt.com","Possible Cobaltstrike DNS C2 Domain","103.114.163.107","dns.incididunt.com incididunt.com"
"initiativeus.com","Possible Cobaltstrike DNS C2 Domain","103.16.231.87","iane.initiativeus.com leno.initiativeus.com rano.initiativeus.com"
"jiayongdianqi.xyz","Possible Cobaltstrike DNS C2 Domain","45.135.118.251","dianqi1.dianqi2.jiayongdianqi.xyz dianqi1.jiayongdianqi.xyz dianqi2.dianqi1.jiayongdianqi.xyz dianqi2.jiayongdianqi.xyz"
"judicical.ml","Possible Cobaltstrike DNS C2 Domain","45.145.228.117","check.judicical.ml check1.judicical.ml"
"kagotsurube.org","Possible Cobaltstrike DNS C2 Domain","198.211.58.80","dev01.kagotsurube.org dev02.kagotsurube.org"
"keremsarmis.com","Possible Cobaltstrike DNS C2 Domain","213.142.151.236","beacon.keremsarmis.com beacon2.keremsarmis.com"
"kolunbia.com","Possible Cobaltstrike DNS C2 Domain","216.238.74.154","a.kolunbia.com file.kolunbia.com test.kolunbia.com"
"libai.monster","Possible Cobaltstrike DNS C2 Domain","45.135.117.110","ns1.libai.monster"
"lionhealthpharmacy.com","Possible Cobaltstrike DNS C2 Domain","52.14.74.190","solid.lionhealthpharmacy.com"
"luqiqi.top","Possible Cobaltstrike DNS C2 Domain","123.57.92.227","nsxx.luqiqi.top"
